SpeciesCode3,Habitat,CommonName,Phylum,Class,Order,Family,Genus,Species
AMS,Pelagic,American Shad,Chordata,Osteichthyes,Clupeiformes,Clupeidae,Alosa,sapidissima
BCR,Littoral,Black Crappie,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
BGS,Littoral,Bluegill,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus
BLB,Benthic,Black Bullhead,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,melas
CCF,Benthic,Channel Catfish,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus
CP,Littoral,Common Carp,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinus,carpio
CS,Littoral,Chinook Salmon,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
CSFR,Littoral,Chinook Salmon,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
CSLFR,Littoral,Chinook Salmon,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
CSSR,Littoral,Chinook Salmon,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
CSWR,Littoral,Chinook Salmon,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
DSM,Pelagic,Delta Smelt,Chordata,Osteichthyes,Salmoniformes,Osmeridae,Hypomesus,transpacificus
GF,Littoral,Goldfish,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus
GSF,Littoral,Green Sunfish,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus
GSN,Littoral,Golden Shiner,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas
GST,Benthic,Green Sturgeon,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,medirostris
HCH,Littoral,Hitch,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Lavinia,exilicauda
HRD,Littoral,Hardhead,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Mylopharodon,conocephalus
LFS,Pelagic,Longfin Smelt,Chordata,Osteichthyes,Salmoniformes,Osmeridae,Spirinchus,thaleichthys
LMB,Littoral,Largemouth Bass,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,salmoides
RBT,Littoral,Rainbow / Steelhead Trout,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
RES,Littoral,Redear Sunfish,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,microlophus
SASU,Benthic,Sacramento Sucker,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,occidentalis
SMB,Littoral,Smallmouth Bass,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu
SPLT,Littoral,Splittail,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pogonichthys,macrolepidotus
SPM,Littoral,Sacramento Pikeminnow,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Ptychocheilus,grandis
STB,Pelagic,Striped Bass,Chordata,Osteichthyes,Perciformes,Percichthyidae,Morone,saxatilis
TFS,Pelagic,Threadfin Shad,Chordata,Osteichthyes,Clupeiformes,Clupeidae,Dorosoma,petenense
TP,Littoral,Tule Perch,Chordata,Osteichthyes,Perciformes,Embiotocidae,Hysterocarpus,traskii
WAR,Littoral,Warmouth,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
WCF,Benthic,White Catfish,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,catus
WCR,Littoral,White Crappie,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
WST,Benthic,White Sturgeon,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,transmontanus
YFG,Benthic,Yellowfin Goby,Chordata,Osteichthyes,Perciformes,Gobiidae,Acanthogobius,flavimanus
AGY,Benthic,Arrow Goby,Chordata,Osteichthyes,Perciformes,Gobiidae,Clevelandia,ios
BAT,Benthic,Bat Ray,Chordata,Chondrichthyes,Rajiformes,Mobulidae,Myliobatis,californica
BCF,Benthic,Blue Catfish,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,furcatus
BFG,Littoral,American Bullfrog,Chordata,Amphibia,Anura,Ranidae,Rana,catasbeiana
BGY,Benthic,Bay Goby,Chordata,Osteichthyes,Perciformes,Gobiidae,Lepidogobius,lepidus
BLP,Littoral,Bigscale Logperch,Chordata,Osteichthyes,Perciformes,Percidae,Percina,macrolepida
BPF,Littoral,Bay Pipefish,Chordata,Osteichthyes,Gasterosteiformes,Syngnathidae,Syngnathus,leptorhynchus
BRB,Benthic,Brown Bullhead,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus
BRR,Benthic,Brown Rockfish,Chordata,Osteichthyes,Perciformes,Sebastidae,Sebastes,auriculatus
BRT,NA,Brown Trout,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta
BSH,Pelagic,Brown Smoothhound,Chordata,Elasmobranchiomorphi,Lamniformes,Carcharhinidae,Mustelus,henlei
BSP,Pelagic,Barred Surfperch,Chordata,Osteichthyes,Perciformes,Embiotocidae,Amphistichus,argenteus
CHAL,Benthic,California Halibut,Chordata,Osteichthyes,Pleuronectiformes,Bothidae,Paralichthys,californicus
CHG,Benthic,Chameleon Goby,Chordata,Osteichthyes,Perciformes,Gobiidae,Tridentiger,trigonocephalus
CHK,Benthic,Cheekspot Goby,Chordata,Osteichthyes,Perciformes,Gobiidae,Ilypnus,gilberti
CORB,Benthic,Asian Clam,Mollusca,Bivalvia,Myoidae,NA,Corbicula,fluminea
CRAN,NA,California Bay Shrimp,Arthropoda,Crustacea,Decapoda,Crangonidae,Crangon,franciscorum
CRCH,Littoral,California Roach,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hesperoleucus,symmetricus
CRNI,NA,Black-spotted Bay Shrimp,Arthropoda,Crustacea,Decapoda,Crangonidae,Crangon,nigromaculata
DSP,Pelagic,Dwarf Surfperch,Chordata,Osteichthyes,Perciformes,Embiotocidae,Micrometrus,minimus
DTBT,Benthic,Diamond Turbot,Chordata,Osteichthyes,Pleuronectiformes,Pleuronectidae,Hypsopsetta,guttulata
DUNG,Benthic,Dungeness Crab,Arthropoda,Crustacea,Decapoda,Cancridae,Cancer,magister
ESL,Benthic,English Sole,Chordata,Osteichthyes,Pleuronectiformes,Pleuronectidae,Parophrys,vetulus
